"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02"
"Baton Rouge, LA",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1887.5,2000,2000,2000,1895,1637.5,1600,1775,1850,1800,1750,1625,1500,1500,1450
"Dayton, OH",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1395,1362.5,1450,1450,1400,1395,1400,1437.5,1375,1397.5,1395,1350,1400,1337.5,1375,1400,1375,1472.5,1499.5,1400,1350,1250,1272.5,1387,1437.5,1275,1475,1400,1350,1450,1290,1350,1450,1350,1200,1350,1200,1399,1495,1425,1500,1430,1455,1350,1350,1350,1300,1350,1410,1350,1255,1337.5,1276,1300,1395,1265,1235,1250,1220,1200
"McAllen, TX",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1775,1650,1700,1700,1675,1662.5,1800,1800,1800,1800,1800,1775,1750,1772.5,1775,1850,1850,1850,1800,1750,1900,1850,1700,1800
"Columbia, SC",72,,,,,,1650,1422.5,1500,1397.5,1350,1535,1475,1475,1325,1450,1400,1375,1350,1350,1337.5,1295,1250,1250,1295,1297.5,1300,1300,1322.5,1350,1300,1272.5,1295,1285,1250,1250,1250,1275,1250,1350,1372.5,1300,1375,1350,1350,1300,1350,1400,1395,1350,1300,1275,1300,1370,1300,1450,1300,1300,1300,1300,1350,1395,1350,1350,1350,1385,1350,1350,1350,1350,1350,1350,1375,1395,1375,1395,1362.5,1395,1325,1350,1350,1350,1375,1350,1350,1345,1395,1395,1437.5,1500,1400,1400,1450,1412.5,1450,1385,1375,1350,1400,1400,1425,1425,1415,1437.5,1400,1425,1450,1400,1450,1440
"Greensboro, NC",73,,,,,,,,,,,,,,,,,,,,,,1450,1250,1447.5,1595,1550,1545,1600,1797.5,1800,1500,1497,1399.5,1350,1325,1295,1295,1350,1324.5,1250,1195,1325,1350,1325,1325,1395,1275,1200,1275,1295,1275,1350,1350,1400,1400,1400,1395,1375,1350,1300,1350,1375,1395,1450,1495,1475,1475,1469,1450,1425,1475,1362.5,1495,1500,1485,1595,1502.5,1495,1525,1500,1495,1495,1410,1450,1395,1547.5,1550,1595,1595,1600,1562.5,1550,1550,1550,1547.5,1495,1500,1500,1495,1550,1549,1600,1575,1585,1595,1595,1595,1550,1595
"Akron, OH",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,960,900,907.5,915,1000,1097.5,1075,950,967.5,995,950,972.5,950,950,987.5,950,1025.5,950,925,924,887.5,900,895,850,892,950,900,925
"North Port-Sarasota-Bradenton, FL",75,,,,,,,,,,,,,,2500,2400,2495,2500,2495,2425,2495,2600,2650,2500,2500,2500,2500,2500,2500,2350,2500,2500,2450,2500,2500,2300,2097.5,2200,2100,2200,2100,2100,2100,1950,2039,2009,2100,2100,1950,2000,1975,1995,2100,2100,2100,2100,2200,2200,2200,2257.5,2100,2200,2225,2400,2325,2300,2225,2250,2222.5,2200,2100,1995,2095,2150,2195,2200,2285,2295,2169,2300,2050,2159.5,2425,2095,2149.5,2182,2250,2287.5,2397,2400,2400,2400,2295,2250,2200,2200,2297.5,2400,2395,2385,2395,2700,2437.5,2375,2400,2425,2450,2500,2395,2499.5
"Stockton, CA",76,,,,,,,,,,,,1595,1550,1575,1565,1500,1495,1595,1500,1500,1550,1595,1525,1500,1500,1550,1500,1500,1595,1550,1550,1567.5,1595,1500,1500,1500,1512.5,1500,1525,1495,1500,1535,1500,1500,1550,1649.5,1550,1597.5,1597.5,1595,1646,1695,1650,1695,1650,1695,1695,1672.5,1695,1695,1650,1695,1724.5,1750,1695,1700,1772.5,1750,1850,1750,1750,1850,1850,1850,1795,1850,2050,1800,1850,1850,1888,1900,1897.5,1965,2095,2097.5,2000,2100,2195,2200,2200,2150,2175,2145,2100,2195,2200,2250,2300,2300,2300,2300,2299.5,2300,2295,2295,2250,2250,2300
"Syracuse, NY",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1450,1500,1600,1500,1400,1300,1200,1275,1100,1050,1175,1200,1137,1250
"Colorado Springs, CO",78,,,,,,1500,1495,1495,1497.5,1395,1425,1400,1400,1397.5,1500,1475,1450,1450,1450,1400,1400,1395,1350,1350,1350,1400,1450,1400,1400,1400,1395,1395,1350,1395,1395,1395,1395,1450,1425,1450,1423.5,1425,1450,1485,1450,1400,1400,1400,1400,1450,1450,1495,1495,1495,1500,1500,1500,1500,1500,1450,1495,1495,1550,1595,1595,1595,1600,1595,1575,1595,1500,1552.5,1595,1595,1600,1595,1595,1595,1612.5,1637.5,1585,1537.5,1525,1650,1695,1695,1700,1750,1700,1725,1750,1750,1750,1700,1695,1700,1710,1800,1845,1800,1800,1800,1795,1795,1795,1800,1800,1795,1814
