metro_id,property_type,time_stamp,num_sales
394913,allhomes,2010-08,
394913,allhomes,2010-09,
394913,allhomes,2010-10,
394913,allhomes,2010-11,
394913,allhomes,2010-12,9382.0
394913,allhomes,2011-01,9749.0
394913,allhomes,2011-02,10143.0
394913,allhomes,2011-03,11171.0
394913,allhomes,2011-04,11703.0
394913,allhomes,2011-05,11350.0
394913,allhomes,2011-06,10954.0
394913,allhomes,2011-07,10454.0
394913,allhomes,2011-08,10350.0
394913,allhomes,2011-09,9698.0
394913,allhomes,2011-10,8952.0
394913,allhomes,2011-11,8307.0
394913,allhomes,2011-12,8015.0
394913,allhomes,2012-01,8322.0
394913,allhomes,2012-02,8558.0
394913,allhomes,2012-03,8784.0
394913,allhomes,2012-04,8907.0
394913,allhomes,2012-05,9086.0
394913,allhomes,2012-06,9347.0
394913,allhomes,2012-07,9303.0
394913,allhomes,2012-08,9214.0
394913,allhomes,2012-09,9007.0
394913,allhomes,2012-10,8961.0
394913,allhomes,2012-11,8933.0
394913,allhomes,2012-12,9129.0
394913,allhomes,2013-01,9859.0
394913,allhomes,2013-02,10395.0
394913,allhomes,2013-03,10522.0
394913,allhomes,2013-04,10458.0
394913,allhomes,2013-05,10774.0
394913,allhomes,2013-06,10889.0
394913,allhomes,2013-07,11084.0
394913,allhomes,2013-08,11210.0
394913,allhomes,2013-09,11721.0
394913,allhomes,2013-10,11924.0
394913,allhomes,2013-11,11783.0
394913,allhomes,2013-12,11682.0
394913,allhomes,2014-01,11442.0
394913,allhomes,2014-02,11109.0
394913,allhomes,2014-03,10940.0
394913,allhomes,2014-04,10851.0
394913,allhomes,2014-05,11298.0
394913,allhomes,2014-06,11258.0
394913,allhomes,2014-07,11588.0
394913,allhomes,2014-08,11384.0
394913,allhomes,2014-09,11484.0
394913,allhomes,2014-10,11496.0
394913,allhomes,2014-11,11480.0
394913,allhomes,2014-12,11917.0
394913,allhomes,2015-01,11630.0
394913,allhomes,2015-02,12084.0
394913,allhomes,2015-03,12008.0
394913,allhomes,2015-04,12557.0
394913,allhomes,2015-05,12247.0
394913,allhomes,2015-06,12612.0
394913,allhomes,2015-07,13023.0
394913,allhomes,2015-08,13686.0
394913,allhomes,2015-09,14003.0
394913,allhomes,2015-10,13877.0
394913,allhomes,2015-11,14206.0
394913,allhomes,2015-12,14176.0
394913,allhomes,2016-01,14099.0
394913,allhomes,2016-02,14648.0
394913,allhomes,2016-03,15295.0
394913,allhomes,2016-04,15805.0
394913,allhomes,2016-05,15044.0
394913,allhomes,2016-06,14938.0
394913,allhomes,2016-07,14854.0
394913,allhomes,2016-08,15465.0
394913,allhomes,2016-09,15646.0
394913,allhomes,2016-10,15685.0
394913,allhomes,2016-11,15943.0
394913,allhomes,2016-12,16175.0
394913,allhomes,2017-01,17311.0
394913,allhomes,2017-02,18294.0
394913,allhomes,2017-03,19285.0
394913,allhomes,2017-04,19491.0
394913,allhomes,2017-05,19349.0
394913,allhomes,2017-06,19236.0
394913,allhomes,2017-07,18548.0
394913,allhomes,2017-08,18786.0
394913,allhomes,2017-09,18389.0
394913,allhomes,2017-10,19021.0
394913,allhomes,2017-11,18907.0
394913,allhomes,2017-12,18901.0
394913,allhomes,2018-01,19293.0
394913,allhomes,2018-02,19649.0
394913,allhomes,2018-03,19473.0
394913,allhomes,2018-04,19364.0
394913,allhomes,2018-05,18932.0
394913,allhomes,2018-06,19346.0
394913,allhomes,2018-07,19112.0
394913,allhomes,2018-08,19329.0
394913,allhomes,2018-09,18436.0
394913,allhomes,2018-10,18633.0
394913,allhomes,2018-11,18734.0
394913,allhomes,2018-12,19179.0
394913,allhomes,2019-01,19792.0
394913,allhomes,2019-02,
753899,allhomes,2008-03,6370.0
753899,allhomes,2008-04,6437.0
753899,allhomes,2008-05,6408.0
753899,allhomes,2008-06,6749.0
753899,allhomes,2008-07,7168.0
753899,allhomes,2008-08,7393.0
