metro_id,property_type,time_stamp,room_num,price
102001,3bedroom,2010-01,3,
102001,3bedroom,2010-02,3,
102001,3bedroom,2010-03,3,1499.0
102001,3bedroom,2010-04,3,1500.0
102001,3bedroom,2010-05,3,1495.0
102001,3bedroom,2010-06,3,1550.0
102001,3bedroom,2010-07,3,1450.0
102001,3bedroom,2010-08,3,1400.0
102001,3bedroom,2010-09,3,1395.0
102001,3bedroom,2010-10,3,1395.0
102001,3bedroom,2010-11,3,1350.0
102001,3bedroom,2010-12,3,1400.0
102001,3bedroom,2011-01,3,1350.0
102001,3bedroom,2011-02,3,1350.0
102001,3bedroom,2011-03,3,1400.0
102001,3bedroom,2011-04,3,1450.0
102001,3bedroom,2011-05,3,1450.0
102001,3bedroom,2011-06,3,1450.0
102001,3bedroom,2011-07,3,1400.0
102001,3bedroom,2011-08,3,1450.0
102001,3bedroom,2011-09,3,1400.0
102001,3bedroom,2011-10,3,1350.0
102001,3bedroom,2011-11,3,1350.0
102001,3bedroom,2011-12,3,1350.0
102001,3bedroom,2012-01,3,1350.0
102001,3bedroom,2012-02,3,1395.0
102001,3bedroom,2012-03,3,1450.0
102001,3bedroom,2012-04,3,1450.0
102001,3bedroom,2012-05,3,1495.0
102001,3bedroom,2012-06,3,1450.0
102001,3bedroom,2012-07,3,1400.0
102001,3bedroom,2012-08,3,1400.0
102001,3bedroom,2012-09,3,1395.0
102001,3bedroom,2012-10,3,1395.0
102001,3bedroom,2012-11,3,1395.0
102001,3bedroom,2012-12,3,1384.0
102001,3bedroom,2013-01,3,1363.0
102001,3bedroom,2013-02,3,1400.0
102001,3bedroom,2013-03,3,1448.0
102001,3bedroom,2013-04,3,1450.0
102001,3bedroom,2013-05,3,1450.0
102001,3bedroom,2013-06,3,1400.0
102001,3bedroom,2013-07,3,1475.0
102001,3bedroom,2013-08,3,1450.0
102001,3bedroom,2013-09,3,1450.0
102001,3bedroom,2013-10,3,1500.0
102001,3bedroom,2013-11,3,1495.0
102001,3bedroom,2013-12,3,1500.0
102001,3bedroom,2014-01,3,1495.0
102001,3bedroom,2014-02,3,1450.0
102001,3bedroom,2014-03,3,1450.0
102001,3bedroom,2014-04,3,1500.0
102001,3bedroom,2014-05,3,1599.0
102001,3bedroom,2014-06,3,1600.0
102001,3bedroom,2014-07,3,1500.0
102001,3bedroom,2014-08,3,1500.0
102001,3bedroom,2014-09,3,1495.0
102001,3bedroom,2014-10,3,1450.0
102001,3bedroom,2014-11,3,1450.0
102001,3bedroom,2014-12,3,1445.0
102001,3bedroom,2015-01,3,1450.0
102001,3bedroom,2015-02,3,1450.0
102001,3bedroom,2015-03,3,1500.0
102001,3bedroom,2015-04,3,1500.0
102001,3bedroom,2015-05,3,1550.0
102001,3bedroom,2015-06,3,1550.0
102001,3bedroom,2015-07,3,1550.0
102001,3bedroom,2015-08,3,1550.0
102001,3bedroom,2015-09,3,1500.0
102001,3bedroom,2015-10,3,1500.0
102001,3bedroom,2015-11,3,1500.0
102001,3bedroom,2015-12,3,1500.0
102001,3bedroom,2016-01,3,1500.0
102001,3bedroom,2016-02,3,1550.0
102001,3bedroom,2016-03,3,1600.0
102001,3bedroom,2016-04,3,1645.0
102001,3bedroom,2016-05,3,1650.0
102001,3bedroom,2016-06,3,1650.0
102001,3bedroom,2016-07,3,1650.0
102001,3bedroom,2016-08,3,1615.0
