ID,name,state_code
394491,"Columbus, NE",NE
394492,"Columbus, OH",OH
394493,"Concord, NH",NH
394494,"Connersville, IN",IN
394495,"Cookeville, TN",TN
394496,"Coos Bay, OR",OR
394498,"Cordele, GA",GA
394499,"Corinth, MS",MS
394500,"Cornelia, GA",GA
394501,"Corning, NY",NY
394502,"Corpus Christi, TX",TX
394503,"Corsicana, TX",TX
394504,"Cortland, NY",NY
394505,"Corvallis, OR",OR
394506,"Coshocton, OH",OH
394507,"Crawfordsville, IN",IN
394508,"Crescent City, CA",CA
394509,"Crossville, TN",TN
394511,"Cullman, AL",AL
394513,"Cumberland, MD",MD
394514,"Dallas-Fort Worth, TX",TX
394515,"Dalton, GA",GA
394516,"Danville, IL",IL
394517,"Danville, KY",KY
394518,"Danville, VA",VA
394519,"Daphne, AL",AL
394520,"Davenport, IL",IL
394521,"Dayton, OH",OH
394522,"DeRidder, LA",LA
394523,"Decatur, AL",AL
394524,"Decatur, IL",IL
394525,"Decatur, IN",IN
394526,"Defiance, OH",OH
394527,"Del Rio, TX",TX
394528,"Daytona Beach, FL",FL
394529,"Deming, NM",NM
394530,"Denver, CO",CO
394531,"Des Moines, IA",IA
394532,"Detroit, MI",MI
394533,"Dickinson, ND",ND
394535,"Dixon, IL",IL
394536,"Dodge City, KS",KS
394537,"Dothan, AL",AL
394538,"Douglas, GA",GA
394539,"Dover, DE",DE
394540,"Dublin, GA",GA
394541,"DuBois, PA",PA
394542,"Dubuque, IA",IA
394543,"Duluth, MN",MN
394544,"Dumas, TX",TX
394545,"Duncan, OK",OK
394546,"Dunn, NC",NC
394547,"Durango, CO",CO
394548,"Durant, OK",OK
394549,"Durham, NC",NC
394550,"Dyersburg, TN",TN
394551,"Eagle Pass, TX",TX
394553,"East Stroudsburg, PA",PA
394554,"Easton, MD",MD
394555,"Eau Claire, WI",WI
394556,"Edwards, CO",CO
394557,"Effingham, IL",IL
394558,"El Campo, TX",TX
394559,"El Centro, CA",CA
394560,"El Dorado, AR",AR
394561,"El Paso, TX",TX
394562,"Elizabeth City, NC",NC
394563,"Elizabethtown, KY",KY
394564,"Elk City, OK",OK
394565,"Elkhart, IN",IN
394566,"Elko, NV",NV
394567,"Ellensburg, WA",WA
394568,"Elmira, NY",NY
394569,"Emporia, KS",KS
394570,"Enid, OK",OK
394571,"Enterprise, AL",AL
394572,"Erie, PA",PA
394573,"Escanaba, MI",MI
394574,"Espa±ola, NM",NM
394576,"Eugene, OR",OR
394577,"Eureka, CA",CA
394578,"Evanston, WY",WY
394579,"Evansville, IN",IN
394580,"Fairbanks, AK",AK
394582,"Fairmont, WV",WV
394584,"Fallon, NV",NV
394585,"Fargo, ND",ND
394586,"Faribault, MN",MN
394587,"Farmington, MO",MO
394588,"Farmington, NM",NM
394589,"Fayetteville, NC",NC
394590,"Fayetteville, AR",AR
394591,"Fergus Falls, MN",MN
394592,"Fernley, NV",NV
394593,"Findlay, OH",OH
394594,"Fitzgerald, GA",GA
394595,"Flagstaff, AZ",AZ
394596,"Flint, MI",MI
394597,"Florence, SC",SC
394598,"Florence, AL",AL
394599,"Fond du Lac, WI",WI
394600,"Forest City, NC",NC
394601,"Forrest City, AR",AR
394602,"Fort Collins, CO",CO
394603,"Fort Dodge, IA",IA
394604,"Fort Leonard Wood, MO",MO
394605,"Fort Madison, IA",IA
394606,"Fort Morgan, CO",CO
394608,"Fort Polk South, LA",LA
394609,"Fort Smith, AR",AR
394612,"Fort Wayne, IN",IN
394613,"Frankfort, IN",IN
