metro_id,property_type,time_stamp,room_num,price
102001,1bedroom,2010-02,1,
102001,1bedroom,2010-03,1,1200.0
102001,1bedroom,2010-04,1,1250.0
102001,1bedroom,2010-05,1,1210.0
102001,1bedroom,2010-06,1,1250.0
102001,1bedroom,2010-07,1,1200.0
102001,1bedroom,2010-08,1,1200.0
102001,1bedroom,2010-09,1,1045.0
102001,1bedroom,2010-10,1,1095.0
102001,1bedroom,2010-11,1,1100.0
102001,1bedroom,2010-12,1,1100.0
102001,1bedroom,2011-01,1,1100.0
102001,1bedroom,2011-02,1,1150.0
102001,1bedroom,2011-03,1,1275.0
102001,1bedroom,2011-04,1,1350.0
102001,1bedroom,2011-05,1,1350.0
102001,1bedroom,2011-06,1,1354.0
102001,1bedroom,2011-07,1,1350.0
102001,1bedroom,2011-08,1,1375.0
102001,1bedroom,2011-09,1,1300.0
102001,1bedroom,2011-10,1,1150.0
102001,1bedroom,2011-11,1,1100.0
102001,1bedroom,2011-12,1,1150.0
102001,1bedroom,2012-01,1,1150.0
102001,1bedroom,2012-02,1,1150.0
102001,1bedroom,2012-03,1,1200.0
102001,1bedroom,2012-04,1,1250.0
102001,1bedroom,2012-05,1,1319.0
102001,1bedroom,2012-06,1,1285.0
102001,1bedroom,2012-07,1,1268.0
102001,1bedroom,2012-08,1,1225.0
102001,1bedroom,2012-09,1,1250.0
102001,1bedroom,2012-10,1,1200.0
102001,1bedroom,2012-11,1,1215.0
102001,1bedroom,2012-12,1,1234.0
102001,1bedroom,2013-01,1,1150.0
102001,1bedroom,2013-02,1,1250.0
102001,1bedroom,2013-03,1,1294.0
102001,1bedroom,2013-04,1,1300.0
102001,1bedroom,2013-05,1,1315.0
102001,1bedroom,2013-06,1,1325.0
102001,1bedroom,2013-07,1,1400.0
102001,1bedroom,2013-08,1,1410.0
102001,1bedroom,2013-09,1,1550.0
102001,1bedroom,2013-10,1,1625.0
102001,1bedroom,2013-11,1,1550.0
102001,1bedroom,2013-12,1,1625.0
102001,1bedroom,2014-01,1,1600.0
102001,1bedroom,2014-02,1,1600.0
102001,1bedroom,2014-03,1,1600.0
102001,1bedroom,2014-04,1,1619.0
102001,1bedroom,2014-05,1,1700.0
102001,1bedroom,2014-06,1,1700.0
102001,1bedroom,2014-07,1,1501.0
102001,1bedroom,2014-08,1,1500.0
102001,1bedroom,2014-09,1,1500.0
102001,1bedroom,2014-10,1,1475.0
102001,1bedroom,2014-11,1,1470.0
102001,1bedroom,2014-12,1,1425.0
102001,1bedroom,2015-01,1,1450.0
102001,1bedroom,2015-02,1,1485.0
102001,1bedroom,2015-03,1,1500.0
102001,1bedroom,2015-04,1,1500.0
102001,1bedroom,2015-05,1,1515.0
102001,1bedroom,2015-06,1,1500.0
102001,1bedroom,2015-07,1,1500.0
102001,1bedroom,2015-08,1,1500.0
102001,1bedroom,2015-09,1,1499.0
102001,1bedroom,2015-10,1,1491.0
102001,1bedroom,2015-11,1,1419.0
102001,1bedroom,2015-12,1,1450.0
102001,1bedroom,2016-01,1,1460.0
102001,1bedroom,2016-02,1,1500.0
102001,1bedroom,2016-03,1,1500.0
102001,1bedroom,2016-04,1,1495.0
102001,1bedroom,2016-05,1,1497.0
102001,1bedroom,2016-06,1,1475.0
102001,1bedroom,2016-07,1,1500.0
102001,1bedroom,2016-08,1,1488.0
102001,1bedroom,2016-09,1,1450.0
102001,1bedroom,2016-10,1,1512.0
102001,1bedroom,2016-11,1,1520.0
102001,1bedroom,2016-12,1,1423.0
102001,1bedroom,2017-01,1,1450.0
102001,1bedroom,2017-02,1,1400.0
102001,1bedroom,2017-03,1,1410.0
102001,1bedroom,2017-04,1,1433.0
102001,1bedroom,2017-05,1,1415.0
102001,1bedroom,2017-06,1,1410.0
102001,1bedroom,2017-07,1,1405.0
102001,1bedroom,2017-08,1,1418.0
102001,1bedroom,2017-09,1,1400.0
102001,1bedroom,2017-10,1,1400.0
102001,1bedroom,2017-11,1,1400.0
102001,1bedroom,2017-12,1,1400.0
102001,1bedroom,2018-01,1,1400.0
102001,1bedroom,2018-02,1,1408.0
102001,1bedroom,2018-03,1,1425.0
102001,1bedroom,2018-04,1,1435.0
102001,1bedroom,2018-05,1,1450.0
102001,1bedroom,2018-06,1,1450.0
102001,1bedroom,2018-07,1,1462.0
102001,1bedroom,2018-08,1,1463.0
102001,1bedroom,2018-09,1,1450.0
102001,1bedroom,2018-10,1,1440.0
102001,1bedroom,2018-11,1,1434.0
102001,1bedroom,2018-12,1,1442.0
102001,1bedroom,2019-01,1,1450.0
102001,1bedroom,2019-02,1,1465.0
394913,1bedroom,2010-02,1,
394913,1bedroom,2010-03,1,
394913,1bedroom,2010-04,1,
394913,1bedroom,2010-05,1,
394913,1bedroom,2010-06,1,
394913,1bedroom,2010-07,1,
394913,1bedroom,2010-08,1,
394913,1bedroom,2010-09,1,
394913,1bedroom,2010-10,1,
394913,1bedroom,2010-11,1,
394913,1bedroom,2010-12,1,
394913,1bedroom,2011-01,1,
394913,1bedroom,2011-02,1,
394913,1bedroom,2011-03,1,
394913,1bedroom,2011-04,1,
394913,1bedroom,2011-05,1,
394913,1bedroom,2011-06,1,
394913,1bedroom,2011-07,1,
394913,1bedroom,2011-08,1,
394913,1bedroom,2011-09,1,2195.0
394913,1bedroom,2011-10,1,2195.0
394913,1bedroom,2011-11,1,2250.0
394913,1bedroom,2011-12,1,2250.0
394913,1bedroom,2012-01,1,2250.0
394913,1bedroom,2012-02,1,2300.0
394913,1bedroom,2012-03,1,2350.0
394913,1bedroom,2012-04,1,2395.0
394913,1bedroom,2012-05,1,2400.0
394913,1bedroom,2012-06,1,2400.0
394913,1bedroom,2012-07,1,2400.0
394913,1bedroom,2012-08,1,2440.0
394913,1bedroom,2012-09,1,2450.0
394913,1bedroom,2012-10,1,2495.0
394913,1bedroom,2012-11,1,2500.0
394913,1bedroom,2012-12,1,2500.0
394913,1bedroom,2013-01,1,2495.0
394913,1bedroom,2013-02,1,2550.0
394913,1bedroom,2013-03,1,2500.0
394913,1bedroom,2013-04,1,2550.0
394913,1bedroom,2013-05,1,2600.0
394913,1bedroom,2013-06,1,2600.0
394913,1bedroom,2013-07,1,2549.0
394913,1bedroom,2013-08,1,2575.0
394913,1bedroom,2013-09,1,2600.0
394913,1bedroom,2013-10,1,2645.0
394913,1bedroom,2013-11,1,2550.0
394913,1bedroom,2013-12,1,2550.0
394913,1bedroom,2014-01,1,2500.0
394913,1bedroom,2014-02,1,2550.0
394913,1bedroom,2014-03,1,2550.0
394913,1bedroom,2014-04,1,2550.0
394913,1bedroom,2014-05,1,2595.0
394913,1bedroom,2014-06,1,2575.0
394913,1bedroom,2014-07,1,2200.0
394913,1bedroom,2014-08,1,2129.0
394913,1bedroom,2014-09,1,2150.0
394913,1bedroom,2014-10,1,2150.0
394913,1bedroom,2014-11,1,2150.0
394913,1bedroom,2014-12,1,2100.0
394913,1bedroom,2015-01,1,2100.0
394913,1bedroom,2015-02,1,2110.0
394913,1bedroom,2015-03,1,2150.0
394913,1bedroom,2015-04,1,2200.0
394913,1bedroom,2015-05,1,2250.0
394913,1bedroom,2015-06,1,2200.0
394913,1bedroom,2015-07,1,2100.0
394913,1bedroom,2015-08,1,2195.0
394913,1bedroom,2015-09,1,2170.0
394913,1bedroom,2015-10,1,2125.0
394913,1bedroom,2015-11,1,2100.0
394913,1bedroom,2015-12,1,2100.0
394913,1bedroom,2016-01,1,2100.0
394913,1bedroom,2016-02,1,2100.0
394913,1bedroom,2016-03,1,2100.0
394913,1bedroom,2016-04,1,2150.0
394913,1bedroom,2016-05,1,2200.0
394913,1bedroom,2016-06,1,2200.0
394913,1bedroom,2016-07,1,2200.0
394913,1bedroom,2016-08,1,2200.0
394913,1bedroom,2016-09,1,2295.0
394913,1bedroom,2016-10,1,2400.0
394913,1bedroom,2016-11,1,2300.0
394913,1bedroom,2016-12,1,2050.0
394913,1bedroom,2017-01,1,2125.0
394913,1bedroom,2017-02,1,2100.0
394913,1bedroom,2017-03,1,2100.0
