id,time_stamp,income
102001,1979-03,16346
102001,1979-06,16675
102001,1979-09,17015
102001,1979-12,17325
102001,1980-03,17700
102001,1980-06,18003
102001,1980-09,18309
102001,1980-12,18655
102001,1981-03,19069
102001,1981-06,19406
102001,1981-09,19799
102001,1981-12,20170
102001,1982-03,20502
102001,1982-06,20700
102001,1982-09,20881
102001,1982-12,21040
102001,1983-03,21193
102001,1983-06,21375
102001,1983-09,21630
102001,1983-12,22021
102001,1984-03,22488
102001,1984-06,22990
102001,1984-09,23432
102001,1984-12,23771
102001,1985-03,24066
102001,1985-06,24283
102001,1985-09,24553
102001,1985-12,24893
102001,1986-03,25286
102001,1986-06,25669
102001,1986-09,26001
102001,1986-12,26265
102001,1987-03,26569
102001,1987-06,26910
102001,1987-09,27213
102001,1987-12,27481
102001,1988-03,27769
102001,1988-06,28053
102001,1988-09,28411
102001,1988-12,28889
102001,1989-03,29475
102001,1989-06,29977
102001,1989-09,30315
102001,1989-12,30456
102001,1990-03,30703
102001,1990-06,31018
102001,1990-09,31294
102001,1990-12,31392
102001,1991-03,31325
102001,1991-06,31257
102001,1991-09,31210
102001,1991-12,31257
102001,1992-03,31410
102001,1992-06,31642
102001,1992-09,31890
102001,1992-12,32112
102001,1993-03,32192
102001,1993-06,32290
102001,1993-09,32369
102001,1993-12,32605
102001,1994-03,32802
102001,1994-06,33138
102001,1994-09,33537
102001,1994-12,34116
102001,1995-03,34644
102001,1995-06,35149
102001,1995-09,35488
102001,1995-12,35715
102001,1996-03,36053
102001,1996-06,36487
102001,1996-09,36918
102001,1996-12,37298
102001,1997-03,37659
102001,1997-06,38039
102001,1997-09,38421
102001,1997-12,38796
102001,1998-03,39298
102001,1998-06,39811
102001,1998-09,40419
102001,1998-12,41061
102001,1999-03,41634
102001,1999-06,42144
102001,1999-09,42220
102001,1999-12,41977
102001,2000-03,42065
102001,2000-06,42225
102001,2000-09,42491
102001,2000-12,42613
102001,2001-03,42750
102001,2001-06,42658
102001,2001-09,42668
102001,2001-12,42735
102001,2002-03,42815
102001,2002-06,43044
102001,2002-09,43150
102001,2002-12,43217
102001,2003-03,43258
102001,2003-06,43449
102001,2003-09,43651
102001,2003-12,43895
102001,2004-03,44131
102001,2004-06,44439
102001,2004-09,44795
102001,2004-12,45370
102001,2005-03,45713
102001,2005-06,46088
102001,2005-09,46333
102001,2005-12,46832
102001,2006-03,47543
102001,2006-06,48205
102001,2006-09,48787
102001,2006-12,49267
102001,2007-03,49913
102001,2007-06,50621
102001,2007-09,51114
102001,2007-12,51310
102001,2008-03,51516
102001,2008-06,52103
102001,2008-09,52319
102001,2008-12,52176
102001,2009-03,51093
102001,2009-06,50391
102001,2009-09,49745
102001,2009-12,49653
102001,2010-03,49653
102001,2010-06,50027
102001,2010-09,50251
102001,2010-12,50251
102001,2011-03,50392
102001,2011-06,50450
102001,2011-09,50594
102001,2011-12,50570
102001,2012-03,50815
102001,2012-06,51099
102001,2012-09,51421
102001,2012-12,52147
102001,2013-03,52179
102001,2013-06,52411
102001,2013-09,52095
102001,2013-12,52312
102001,2014-03,52743
102001,2014-06,53328
102001,2014-09,54015
102001,2014-12,54540
102001,2015-03,55010
102001,2015-06,55456
102001,2015-09,56026
102001,2015-12,56605
102001,2016-03,57017
102001,2016-06,57324
102001,2016-09,57766
102001,2016-12,58360
102001,2017-03,59165
102001,2017-06,59959
102001,2017-09,60741
102001,2017-12,61477
102001,2018-03,61936
102001,2018-06,62395
102001,2018-09,62855
102001,2018-12,63314
394913,1979-03,17536
394913,1979-06,17888
394913,1979-09,18255
394913,1979-12,18614
394913,1980-03,19075
394913,1980-06,19493
394913,1980-09,19894
394913,1980-12,20320
394913,1981-03,20744
394913,1981-06,21122
394913,1981-09,21558
394913,1981-12,22022
394913,1982-03,22477
394913,1982-06,22789
394913,1982-09,23220
394913,1982-12,23734
394913,1983-03,24248
394913,1983-06,24737
394913,1983-09,25165
394913,1983-12,25623
394913,1984-03,26116
394913,1984-06,26666
394913,1984-09,27269
394913,1984-12,27970
394913,1985-03,28541
394913,1985-06,28989
394913,1985-09,29415
394913,1985-12,29923
394913,1986-03,30544
394913,1986-06,31165
394913,1986-09,31825
394913,1986-12,32424
394913,1987-03,33117
394913,1987-06,33776
394913,1987-09,34316
394913,1987-12,34758
394913,1988-03,35542
394913,1988-06,36136
394913,1988-09,36674
394913,1988-12,37123
394913,1989-03,37818
394913,1989-06,38547
394913,1989-09,38893
394913,1989-12,38823
394913,1990-03,38933
394913,1990-06,39009
394913,1990-09,39504
394913,1990-12,39990
394913,1991-03,40080
394913,1991-06,40169
394913,1991-09,40088
394913,1991-12,39947
394913,1992-03,40040
394913,1992-06,40177
394913,1992-09,40574
394913,1992-12,41026
394913,1993-03,41022
394913,1993-06,41085
394913,1993-09,41041
394913,1993-12,41537
394913,1994-03,41571
394913,1994-06,41826
394913,1994-09,41862
394913,1994-12,42251
394913,1995-03,42508
394913,1995-06,42793
394913,1995-09,43010
394913,1995-12,43190
394913,1996-03,43572
394913,1996-06,44030
394913,1996-09,44521
394913,1996-12,44976
394913,1997-03,45452
394913,1997-06,45983
394913,1997-09,46508
394913,1997-12,47038
394913,1998-03,47526
394913,1998-06,48053
394913,1998-09,48667
394913,1998-12,49508
394913,1999-03,50446
394913,1999-06,51230
394913,1999-09,51721
394913,1999-12,51474
394913,2000-03,51907
394913,2000-06,52432
394913,2000-09,53049
394913,2000-12,53403
394913,2001-03,53547
394913,2001-06,53365
394913,2001-09,53243
394913,2001-12,53086
394913,2002-03,53039
394913,2002-06,52992
394913,2002-09,53017
394913,2002-12,53078
394913,2003-03,52964
394913,2003-06,53215
394913,2003-09,53619
394913,2003-12,54347
394913,2004-03,54863
394913,2004-06,55487
394913,2004-09,56349
394913,2004-12,57669
394913,2005-03,58538
394913,2005-06,59260
394913,2005-09,59756
394913,2005-12,60729
394913,2006-03,61974
394913,2006-06,63256
394913,2006-09,63928
394913,2006-12,64250
394913,2007-03,65145
394913,2007-06,65890
394913,2007-09,66375
394913,2007-12,66213
394913,2008-03,66373
394913,2008-06,66643
394913,2008-09,66965
394913,2008-12,67115
394913,2009-03,66415
394913,2009-06,66458
394913,2009-09,66065
394913,2009-12,65745
394913,2010-03,65121
394913,2010-06,64940
394913,2010-09,64666
394913,2010-12,64315
394913,2011-03,64367
394913,2011-06,64414
394913,2011-09,64635
394913,2011-12,64249
394913,2012-03,64396
394913,2012-06,64751
394913,2012-09,65217
394913,2012-12,66125
394913,2013-03,66087
394913,2013-06,66396
394913,2013-09,65954
394913,2013-12,66198
394913,2014-03,66509
394913,2014-06,66937
394913,2014-09,67471
394913,2014-12,67874
394913,2015-03,68243
394913,2015-06,68750
394913,2015-09,69559
394913,2015-12,70388
394913,2016-03,71139
394913,2016-06,71694
394913,2016-09,72364
394913,2016-12,72812
394913,2017-03,73819
394913,2017-06,74936
394913,2017-09,75963
394913,2017-12,76753
394913,2018-03,77408
394913,2018-06,78062
394913,2018-09,78716
394913,2018-12,79370
753899,1979-03,17913
753899,1979-06,18285
753899,1979-09,18746
753899,1979-12,19213
753899,1980-03,19782
753899,1980-06,20306
753899,1980-09,20737
753899,1980-12,21091
753899,1981-03,21468
753899,1981-06,21765
753899,1981-09,22166
753899,1981-12,22582
753899,1982-03,22992
753899,1982-06,23190
753899,1982-09,23452
753899,1982-12,23705
753899,1983-03,24117
753899,1983-06,24585
753899,1983-09,25030
753899,1983-12,25389
753899,1984-03,25864
753899,1984-06,26337
753899,1984-09,26881
753899,1984-12,27419
753899,1985-03,27979
753899,1985-06,28356
753899,1985-09,28777
753899,1985-12,29250
753899,1986-03,29844
753899,1986-06,30422
753899,1986-09,30978
753899,1986-12,31455
753899,1987-03,32025
753899,1987-06,32634
753899,1987-09,33185
753899,1987-12,33694
753899,1988-03,34236
753899,1988-06,34857
753899,1988-09,35505
753899,1988-12,36124
753899,1989-03,36850
753899,1989-06,37378
753899,1989-09,37564
753899,1989-12,37507
753899,1990-03,37703
753899,1990-06,37975
753899,1990-09,38175
