id,time_stamp,income
102001,1979-03,16346.0
102001,1979-06,16675.0
102001,1979-09,17015.0
102001,1979-12,17325.0
102001,1980-03,17700.0
102001,1980-06,18003.0
102001,1980-09,18309.0
102001,1980-12,18655.0
102001,1981-03,19069.0
102001,1981-06,19406.0
102001,1981-09,19799.0
102001,1981-12,20170.0
102001,1982-03,20502.0
102001,1982-06,20700.0
102001,1982-09,20881.0
102001,1982-12,21040.0
102001,1983-03,21193.0
102001,1983-06,21375.0
102001,1983-09,21630.0
102001,1983-12,22021.0
102001,1984-03,22488.0
102001,1984-06,22990.0
102001,1984-09,23432.0
102001,1984-12,23771.0
102001,1985-03,24066.0
102001,1985-06,24283.0
102001,1985-09,24553.0
102001,1985-12,24893.0
102001,1986-03,25286.0
102001,1986-06,25669.0
102001,1986-09,26001.0
102001,1986-12,26265.0
102001,1987-03,26569.0
102001,1987-06,26910.0
102001,1987-09,27213.0
102001,1987-12,27481.0
102001,1988-03,27769.0
102001,1988-06,28053.0
102001,1988-09,28411.0
102001,1988-12,28889.0
102001,1989-03,29475.0
102001,1989-06,29977.0
102001,1989-09,30315.0
102001,1989-12,30456.0
102001,1990-03,30703.0
102001,1990-06,31018.0
102001,1990-09,31294.0
102001,1990-12,31392.0
102001,1991-03,31325.0
102001,1991-06,31257.0
102001,1991-09,31210.0
102001,1991-12,31257.0
102001,1992-03,31410.0
102001,1992-06,31642.0
102001,1992-09,31890.0
102001,1992-12,32112.0
102001,1993-03,32192.0
102001,1993-06,32290.0
102001,1993-09,32369.0
102001,1993-12,32605.0
102001,1994-03,32802.0
102001,1994-06,33138.0
102001,1994-09,33537.0
102001,1994-12,34116.0
102001,1995-03,34644.0
102001,1995-06,35149.0
102001,1995-09,35488.0
102001,1995-12,35715.0
102001,1996-03,36053.0
102001,1996-06,36487.0
102001,1996-09,36918.0
102001,1996-12,37298.0
102001,1997-03,37659.0
102001,1997-06,38039.0
102001,1997-09,38421.0
102001,1997-12,38796.0
102001,1998-03,39298.0
102001,1998-06,39811.0
102001,1998-09,40419.0
102001,1998-12,41061.0
102001,1999-03,41634.0
102001,1999-06,42144.0
102001,1999-09,42220.0
102001,1999-12,41977.0
102001,2000-03,42065.0
102001,2000-06,42225.0
102001,2000-09,42491.0
102001,2000-12,42613.0
102001,2001-03,42750.0
102001,2001-06,42658.0
102001,2001-09,42668.0
102001,2001-12,42735.0
102001,2002-03,42815.0
102001,2002-06,43044.0
102001,2002-09,43150.0
102001,2002-12,43217.0
102001,2003-03,43258.0
102001,2003-06,43449.0
102001,2003-09,43651.0
102001,2003-12,43895.0
102001,2004-03,44131.0
102001,2004-06,44439.0
102001,2004-09,44795.0
102001,2004-12,45370.0
102001,2005-03,45713.0
102001,2005-06,46088.0
102001,2005-09,46333.0
102001,2005-12,46832.0
102001,2006-03,47543.0
102001,2006-06,48205.0
102001,2006-09,48787.0
102001,2006-12,49267.0
102001,2007-03,49913.0
102001,2007-06,50621.0
102001,2007-09,51114.0
102001,2007-12,51310.0
102001,2008-03,51516.0
102001,2008-06,52103.0
102001,2008-09,52319.0
102001,2008-12,52176.0
102001,2009-03,51093.0
102001,2009-06,50391.0
102001,2009-09,49745.0
102001,2009-12,49653.0
102001,2010-03,49653.0
102001,2010-06,50027.0
102001,2010-09,50251.0
102001,2010-12,50251.0
102001,2011-03,50392.0
102001,2011-06,50450.0
102001,2011-09,50594.0
102001,2011-12,50570.0
102001,2012-03,50815.0
102001,2012-06,51099.0
102001,2012-09,51421.0
102001,2012-12,52147.0
102001,2013-03,52179.0
102001,2013-06,52411.0
102001,2013-09,52095.0
102001,2013-12,52312.0
102001,2014-03,52743.0
102001,2014-06,53328.0
102001,2014-09,54015.0
102001,2014-12,54540.0
102001,2015-03,55010.0
102001,2015-06,55456.0
102001,2015-09,56026.0
102001,2015-12,56605.0
102001,2016-03,57017.0
102001,2016-06,57324.0
102001,2016-09,57766.0
102001,2016-12,58360.0
102001,2017-03,59165.0
102001,2017-06,59959.0
102001,2017-09,60741.0
102001,2017-12,61477.0
102001,2018-03,61936.0
102001,2018-06,62395.0
102001,2018-09,62855.0
102001,2018-12,63314.0
394913,1979-03,17536.0
394913,1979-06,17888.0
394913,1979-09,18255.0
394913,1979-12,18614.0
394913,1980-03,19075.0
394913,1980-06,19493.0
394913,1980-09,19894.0
394913,1980-12,20320.0
394913,1981-03,20744.0
394913,1981-06,21122.0
394913,1981-09,21558.0
394913,1981-12,22022.0
394913,1982-03,22477.0
394913,1982-06,22789.0
394913,1982-09,23220.0
394913,1982-12,23734.0
394913,1983-03,24248.0
394913,1983-06,24737.0
394913,1983-09,25165.0
394913,1983-12,25623.0
394913,1984-03,26116.0
394913,1984-06,26666.0
394913,1984-09,27269.0
394913,1984-12,27970.0
394913,1985-03,28541.0
394913,1985-06,28989.0
394913,1985-09,29415.0
394913,1985-12,29923.0
394913,1986-03,30544.0
394913,1986-06,31165.0
394913,1986-09,31825.0
394913,1986-12,32424.0
394913,1987-03,33117.0
394913,1987-06,33776.0
394913,1987-09,34316.0
394913,1987-12,34758.0
394913,1988-03,35542.0
394913,1988-06,36136.0
394913,1988-09,36674.0
394913,1988-12,37123.0
394913,1989-03,37818.0
394913,1989-06,38547.0
394913,1989-09,38893.0
394913,1989-12,38823.0
394913,1990-03,38933.0
394913,1990-06,39009.0
394913,1990-09,39504.0
394913,1990-12,39990.0
394913,1991-03,40080.0
394913,1991-06,40169.0
394913,1991-09,40088.0
394913,1991-12,39947.0
394913,1992-03,40040.0
394913,1992-06,40177.0
394913,1992-09,40574.0
394913,1992-12,41026.0
394913,1993-03,41022.0
394913,1993-06,41085.0
394913,1993-09,41041.0
394913,1993-12,41537.0
394913,1994-03,41571.0
394913,1994-06,41826.0
394913,1994-09,41862.0
394913,1994-12,42251.0
394913,1995-03,42508.0
394913,1995-06,42793.0
394913,1995-09,43010.0
394913,1995-12,43190.0
394913,1996-03,43572.0
394913,1996-06,44030.0
394913,1996-09,44521.0
394913,1996-12,44976.0
394913,1997-03,45452.0
394913,1997-06,45983.0
394913,1997-09,46508.0
394913,1997-12,47038.0
394913,1998-03,47526.0
394913,1998-06,48053.0
394913,1998-09,48667.0
394913,1998-12,49508.0
394913,1999-03,50446.0
394913,1999-06,51230.0
394913,1999-09,51721.0
394913,1999-12,51474.0
394913,2000-03,51907.0
394913,2000-06,52432.0
394913,2000-09,53049.0
394913,2000-12,53403.0
394913,2001-03,53547.0
394913,2001-06,53365.0
394913,2001-09,53243.0
394913,2001-12,53086.0
394913,2002-03,53039.0
394913,2002-06,52992.0
394913,2002-09,53017.0
394913,2002-12,53078.0
394913,2003-03,52964.0
394913,2003-06,53215.0
394913,2003-09,53619.0
394913,2003-12,54347.0
394913,2004-03,54863.0
394913,2004-06,55487.0
394913,2004-09,56349.0
394913,2004-12,57669.0
394913,2005-03,58538.0
394913,2005-06,59260.0
394913,2005-09,59756.0
394913,2005-12,60729.0
394913,2006-03,61974.0
394913,2006-06,63256.0
394913,2006-09,63928.0
394913,2006-12,64250.0
394913,2007-03,65145.0
394913,2007-06,65890.0
394913,2007-09,66375.0
394913,2007-12,66213.0
394913,2008-03,66373.0
394913,2008-06,66643.0
394913,2008-09,66965.0
394913,2008-12,67115.0
394913,2009-03,66415.0
394913,2009-06,66458.0
394913,2009-09,66065.0
394913,2009-12,65745.0
394913,2010-03,65121.0
394913,2010-06,64940.0
394913,2010-09,64666.0
394913,2010-12,64315.0
394913,2011-03,64367.0
394913,2011-06,64414.0
394913,2011-09,64635.0
394913,2011-12,64249.0
394913,2012-03,64396.0
394913,2012-06,64751.0
394913,2012-09,65217.0
394913,2012-12,66125.0
394913,2013-03,66087.0
394913,2013-06,66396.0
394913,2013-09,65954.0
394913,2013-12,66198.0
394913,2014-03,66509.0
394913,2014-06,66937.0
394913,2014-09,67471.0
394913,2014-12,67874.0
394913,2015-03,68243.0
394913,2015-06,68750.0
394913,2015-09,69559.0
394913,2015-12,70388.0
394913,2016-03,71139.0
394913,2016-06,71694.0
394913,2016-09,72364.0
394913,2016-12,72812.0
394913,2017-03,73819.0
394913,2017-06,74936.0
394913,2017-09,75963.0
394913,2017-12,76753.0
394913,2018-03,77408.0
394913,2018-06,78062.0
394913,2018-09,78716.0
394913,2018-12,79370.0
753899,1979-03,17913.0
753899,1979-06,18285.0
753899,1979-09,18746.0
753899,1979-12,19213.0
753899,1980-03,19782.0
753899,1980-06,20306.0
753899,1980-09,20737.0
753899,1980-12,21091.0
753899,1981-03,21468.0
753899,1981-06,21765.0
753899,1981-09,22166.0
753899,1981-12,22582.0
753899,1982-03,22992.0
753899,1982-06,23190.0
753899,1982-09,23452.0
753899,1982-12,23705.0
753899,1983-03,24117.0
753899,1983-06,24585.0
753899,1983-09,25030.0
753899,1983-12,25389.0
753899,1984-03,25864.0
753899,1984-06,26337.0
753899,1984-09,26881.0
753899,1984-12,27419.0
753899,1985-03,27979.0
753899,1985-06,28356.0
753899,1985-09,28777.0
753899,1985-12,29250.0
753899,1986-03,29844.0
753899,1986-06,30422.0
753899,1986-09,30978.0
753899,1986-12,31455.0
753899,1987-03,32025.0
753899,1987-06,32634.0
753899,1987-09,33185.0
753899,1987-12,33694.0
753899,1988-03,34236.0
753899,1988-06,34857.0
753899,1988-09,35505.0
753899,1988-12,36124.0
753899,1989-03,36850.0
753899,1989-06,37378.0
753899,1989-09,37564.0
753899,1989-12,37507.0
753899,1990-03,37703.0
753899,1990-06,37975.0
753899,1990-09,38175.0
753899,1990-12,38390.0
753899,1991-03,38421.0
753899,1991-06,38430.0
753899,1991-09,38148.0
753899,1991-12,37782.0
753899,1992-03,37532.0
753899,1992-06,37388.0
753899,1992-09,37373.0
753899,1992-12,37425.0
753899,1993-03,37318.0
753899,1993-06,37142.0
753899,1993-09,36955.0
753899,1993-12,36939.0
753899,1994-03,36947.0
753899,1994-06,37086.0
753899,1994-09,37180.0
753899,1994-12,37349.0
753899,1995-03,37589.0
753899,1995-06,37823.0
753899,1995-09,38074.0
753899,1995-12,38238.0
753899,1996-03,38613.0
753899,1996-06,39027.0
753899,1996-09,39566.0
753899,1996-12,40106.0
753899,1997-03,40637.0
753899,1997-06,41211.0
753899,1997-09,41636.0
753899,1997-12,41947.0
753899,1998-03,42593.0
753899,1998-06,43138.0
753899,1998-09,43878.0
753899,1998-12,44580.0
753899,1999-03,45347.0
753899,1999-06,46046.0
753899,1999-09,46303.0
753899,1999-12,46346.0
753899,2000-03,46814.0
753899,2000-06,47352.0
753899,2000-09,48057.0
753899,2000-12,48287.0
753899,2001-03,48521.0
753899,2001-06,48173.0
753899,2001-09,47902.0
753899,2001-12,47519.0
753899,2002-03,47323.0
753899,2002-06,47320.0
753899,2002-09,47251.0
753899,2002-12,47091.0
753899,2003-03,47018.0
753899,2003-06,47109.0
753899,2003-09,47395.0
753899,2003-12,47809.0
753899,2004-03,48272.0
753899,2004-06,48764.0
753899,2004-09,49429.0
753899,2004-12,50385.0
753899,2005-03,51121.0
753899,2005-06,51963.0
753899,2005-09,52514.0
753899,2005-12,53128.0
753899,2006-03,54062.0
753899,2006-06,54761.0
753899,2006-09,55519.0
753899,2006-12,56172.0
753899,2007-03,57053.0
753899,2007-06,57894.0
753899,2007-09,58345.0
753899,2007-12,58474.0
753899,2008-03,58500.0
753899,2008-06,58755.0
753899,2008-09,59103.0
753899,2008-12,59421.0
753899,2009-03,59064.0
753899,2009-06,58890.0
753899,2009-09,58334.0
753899,2009-12,57680.0
753899,2010-03,57366.0
753899,2010-06,57445.0
753899,2010-09,57287.0
753899,2010-12,57057.0
753899,2011-03,57062.0
753899,2011-06,56991.0
753899,2011-09,56873.0
753899,2011-12,56555.0
753899,2012-03,56829.0
753899,2012-06,57144.0
753899,2012-09,57632.0
753899,2012-12,58787.0
753899,2013-03,58776.0
753899,2013-06,59113.0
753899,2013-09,58548.0
753899,2013-12,59097.0
753899,2014-03,59674.0
753899,2014-06,60412.0
753899,2014-09,61046.0
753899,2014-12,61436.0
753899,2015-03,61900.0
753899,2015-06,62437.0
753899,2015-09,63322.0
753899,2015-12,64352.0
753899,2016-03,65089.0
753899,2016-06,65695.0
753899,2016-09,66466.0
753899,2016-12,67400.0
753899,2017-03,68525.0
753899,2017-06,69658.0
753899,2017-09,70516.0
753899,2017-12,71268.0
753899,2018-03,71844.0
753899,2018-06,72421.0
753899,2018-09,72997.0
753899,2018-12,73574.0
394463,1979-03,20056.0
394463,1979-06,20460.0
394463,1979-09,20910.0
394463,1979-12,21267.0
394463,1980-03,21678.0
394463,1980-06,21848.0
394463,1980-09,21984.0
394463,1980-12,22067.0
394463,1981-03,22395.0
394463,1981-06,22598.0
394463,1981-09,22927.0
394463,1981-12,23205.0
394463,1982-03,23395.0
394463,1982-06,23494.0
394463,1982-09,23725.0
394463,1982-12,24151.0
394463,1983-03,24435.0
394463,1983-06,24714.0
394463,1983-09,24885.0
394463,1983-12,25078.0
394463,1984-03,25442.0
394463,1984-06,25870.0
394463,1984-09,26378.0
